,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1746,1746,Quality Engineer,4.7,Quality Hr Services,17,0,Vapi,"('Supervisor', 'Training', 'Engineer Trainee', 'Data analysis', 'Report writing', 'Mechanical', 'Instrumentation', 'HR')",30+ Days,0
1747,1747,Graduate Engineer Trainee,4.7,Quality Hr Services,17,0,Daman & Diu,"('Supervisor', 'Training', 'Engineer Trainee', 'Data analysis', 'Report writing', 'Mechanical', 'HR', 'Electricals')",30+ Days,0
1748,1748,Intern - Botnar Safer Mobility For Youth,4.3,World Resources Institute (WRI),12,0,Rohtak,"('Data analysis', 'AutoCAD', 'Project management', 'Analytical', 'Equity', 'Data collection', 'Autodesk', 'Research')",30+ Days,0
1749,1749,Machine Learning Engineer,4.9,Mantras2success Consultants,8,0,Hyderabad/Secunderabad,"('BPO', 'C++', 'Illustrator', 'Artificial Intelligence', 'Machine learning', 'SCALA', 'Data processing', 'Photoshop')",30+ Days,0
1750,1750,"B2B Corporate Collection ,Receivables, Billing, invoicing",3.4,ATS Services,87,0,Faridabad,"('B2B Collection', 'Excel', 'Corporate Collection', 'Invoicing', 'Receivable Management', 'Billing', 'Telecalling', 'Corporate')",17 Days,0
1751,1751,Fund Admin Assistant,4.3,Oxygen Healthcare Research,27,0,Ahmedabad,"('Administration', 'Business writing', 'Focus', 'Manager Technology', 'Technology', 'Assistance', 'Technology management', 'Writing')",30+ Days,0
1752,1752,SALES & MARKETING Professional,4.3,Datamate Infosolutions (p) Ltd,21,0,Kochi/Cochin,"('Analytical skills', 'Lead generation', 'Sales strategy', 'Data analysis', 'Social media', 'Market research', 'Brand awareness', 'Sales process')",30+ Days,0
1753,1753,SALES AND MARKETING INTERN,0.0,Seebec Utilities,0,0,Hyderabad,"('Data analysis', 'tableau', 'Marketing Intern', 'Excel', 'sales intern', 'power bi', 'Data analytics', 'Marketing')",30+ Days,0
1754,1754,Machine Learning Engineer I,3.5,Simplicity First,68,0,Pune,"('Cloud computing', 'Business analysis', 'Coding', 'Machine learning', 'Business solutions', 'Principal', 'Analytics', 'SQL')",30+ Days,0
1755,1755,Production Manager,4.7,Quality Hr Services,17,0,"Mumbai, Vasai","('Data analysis', 'Change management', 'ISO', 'Data management', 'Production Manager', 'Scheduling', 'HSE', 'Monitoring')",30+ Days,0
